dist,n,trial,time_ms,comparisons,swaps,accesses
random,100,1,0,4950,92,10268
random,100,2,0,4950,93,10272
random,100,3,0,4950,94,10276
random,1000,1,3,499500,990,1002960
random,1000,2,1,499500,990,1002960
random,1000,3,0,499500,992,1002968
random,10000,1,40,49995000,9992,100029968
random,10000,2,36,49995000,9990,100029960
random,10000,3,28,49995000,9985,100029940
random,100000,1,3593,4999950000,99986,10000299944
random,100000,2,3641,4999950000,99988,10000299952
random,100000,3,2123,4999950000,99985,10000299940
sorted,100,1,0,4950,93,10272
sorted,100,2,0,4950,94,10276
sorted,100,3,0,4950,93,10272
sorted,1000,1,4,499500,990,1002960
sorted,1000,2,1,499500,995,1002980
sorted,1000,3,0,499500,994,1002976
sorted,10000,1,39,49995000,9990,100029960
sorted,10000,2,37,49995000,9989,100029956
sorted,10000,3,29,49995000,9986,100029944
sorted,100000,1,3564,4999950000,99984,10000299936
sorted,100000,2,3573,4999950000,99990,10000299960
sorted,100000,3,2251,4999950000,99992,10000299968
reverse,100,1,0,4950,95,10280
reverse,100,2,0,4950,95,10280
reverse,100,3,0,4950,92,10268
reverse,1000,1,3,499500,994,1002976
reverse,1000,2,1,499500,991,1002964
reverse,1000,3,0,499500,990,1002960
reverse,10000,1,39,49995000,9993,100029972
reverse,10000,2,36,49995000,9983,100029932
reverse,10000,3,30,49995000,9984,100029936
reverse,100000,1,3575,4999950000,99982,10000299928
reverse,100000,2,3563,4999950000,99992,10000299968
reverse,100000,3,2121,4999950000,99983,10000299932
nearly,100,1,0,4950,94,10276
nearly,100,2,0,4950,96,10284
nearly,100,3,0,4950,93,10272
nearly,1000,1,3,499500,993,1002972
nearly,1000,2,1,499500,994,1002976
nearly,1000,3,0,499500,994,1002976
nearly,10000,1,39,49995000,9989,100029956
nearly,10000,2,36,49995000,9995,100029980
nearly,10000,3,21,49995000,9990,100029960
nearly,100000,1,3590,4999950000,99988,10000299952
nearly,100000,2,3588,4999950000,99985,10000299940
nearly,100000,3,2119,4999950000,99990,10000299960
